IQR Factor,Batch Size,Learning Rate,Max Iters,Momentum,Mean Train MSE,Mean Validation MSE,Test MSE,Convergence Speed
1.5,1,0.1,10000.0,0.0,18.034,17.278,10.741,0.82
1.5,1,0.1,10000.0,0.5,20.187,17.362,14.827,0.82
1.5,1,0.1,10000.0,0.9,16.105,17.56,20.315,0.82
1.5,1,0.1,100000.0,0.0,14.921,12.941,10.425,8.26
1.5,1,0.1,100000.0,0.5,13.062,15.471,14.981,8.31
1.5,1,0.1,100000.0,0.9,18.469,17.541,15.819,8.27
1.5,1,0.5,10000.0,0.0,50.834,59.484,22.069,0.82
1.5,1,0.5,10000.0,0.5,14.364,13.55,17.749,0.82
1.5,1,0.5,10000.0,0.9,21.463,20.663,16.876,0.85
1.5,1,0.5,100000.0,0.0,21.814,29.458,30.601,8.19
1.5,1,0.5,100000.0,0.5,21.013,24.19,18.633,8.45
1.5,1,0.5,100000.0,0.9,11.439,10.211,10.792,8.4
1.5,8,0.05,10000.0,0.0,19.667,15.321,15.027,0.88
1.5,8,0.05,10000.0,0.5,16.617,18.988,19.019,0.85
1.5,8,0.05,10000.0,0.9,16.071,23.591,14.571,0.86
1.5,8,0.05,100000.0,0.0,12.775,18.04,15.613,8.57
1.5,8,0.05,100000.0,0.5,13.46,15.857,17.871,8.34
1.5,8,0.05,100000.0,0.9,13.638,14.394,17.704,8.41
1.5,8,0.1,10000.0,0.0,17.147,14.699,19.137,0.84
1.5,8,0.1,10000.0,0.5,15.789,18.49,17.046,0.84
1.5,8,0.1,10000.0,0.9,16.158,16.256,18.932,0.84
1.5,8,0.1,100000.0,0.0,14.314,12.574,14.427,8.42
1.5,8,0.1,100000.0,0.5,13.922,11.861,13.552,8.06
1.5,8,0.1,100000.0,0.9,12.827,16.54,11.517,7.99
1.5,8,0.5,10000.0,0.0,15.62,14.359,13.458,0.84
1.5,8,0.5,10000.0,0.5,13.218,16.027,19.476,0.8
1.5,8,0.5,10000.0,0.9,16.204,16.13,12.166,0.8
1.5,8,0.5,100000.0,0.0,12.793,9.741,11.844,7.99
1.5,8,0.5,100000.0,0.5,11.263,8.654,11.288,8.02
1.5,8,0.5,100000.0,0.9,8.937,12.07,13.539,8.0
1.5,32,0.05,10000.0,0.0,19.981,13.281,16.594,0.85
1.5,32,0.05,10000.0,0.5,19.571,14.217,16.083,0.84
1.5,32,0.05,10000.0,0.9,18.508,14.728,19.076,0.83
1.5,32,0.05,100000.0,0.0,13.608,11.754,22.072,8.25
1.5,32,0.05,100000.0,0.5,13.646,19.398,11.955,8.46
