IQR Factor,Batch Size,Learning Rate,Max Iters,Momentum,Mean Train Accuracy,Mean Validation Accuracy,Test Accuracy,Convergence Speed
1.0,16,0.05,40000.0,0.5,0.867,0.862,0.958,3.3935
1.0,16,0.05,40000.0,0.9,0.872,0.82,0.917,3.4717
1.0,16,0.05,100000.0,0.0,0.947,0.883,0.917,8.4741
1.0,16,0.05,100000.0,0.5,0.952,0.894,0.958,8.483
1.0,16,0.05,100000.0,0.9,0.926,0.872,0.583,8.4442
1.0,16,0.1,10000.0,0.0,0.739,0.67,0.375,0.8449
1.0,16,0.1,10000.0,0.5,0.809,0.819,0.833,0.8944
1.0,16,0.1,10000.0,0.9,0.718,0.669,0.917,0.849
1.0,16,0.1,40000.0,0.0,0.809,0.755,0.667,3.3626
1.0,16,0.1,40000.0,0.5,0.91,0.905,0.708,3.4031
1.0,16,0.1,40000.0,0.9,0.878,0.819,0.917,3.3706
1.0,16,0.1,100000.0,0.0,0.926,0.872,0.875,8.5008
1.0,16,0.1,100000.0,0.5,0.958,0.883,0.917,10.5902
1.0,16,0.1,100000.0,0.9,0.947,0.872,0.958,8.4849
1.0,16,0.5,10000.0,0.0,0.713,0.723,0.583,0.8463
1.0,16,0.5,10000.0,0.5,0.654,0.681,0.5,0.8408
1.0,16,0.5,10000.0,0.9,0.82,0.808,0.875,0.895
1.0,16,0.5,40000.0,0.0,0.792,0.83,1.0,3.3861
1.0,16,0.5,40000.0,0.5,0.782,0.798,0.875,3.6181
1.0,16,0.5,40000.0,0.9,0.909,0.884,0.917,3.3748
1.0,16,0.5,100000.0,0.0,0.963,0.915,0.917,8.4319
1.0,16,0.5,100000.0,0.5,0.942,0.883,0.875,8.5076
1.0,16,0.5,100000.0,0.9,0.931,0.894,0.917,8.4461
1.0,16,0.7,10000.0,0.0,0.687,0.68,0.625,0.9105
1.0,16,0.7,10000.0,0.5,0.745,0.701,0.75,0.848
1.0,16,0.7,10000.0,0.9,0.851,0.851,0.792,0.8816
1.0,16,0.7,40000.0,0.0,0.82,0.786,0.333,3.3593
1.0,16,0.7,40000.0,0.5,0.851,0.797,0.917,3.3573
1.0,16,0.7,40000.0,0.9,0.936,0.883,0.958,3.3794
1.0,16,0.7,100000.0,0.0,0.963,0.905,0.917,9.135
1.0,16,0.7,100000.0,0.5,0.963,0.905,0.917,8.4275
1.0,16,0.7,100000.0,0.9,0.984,0.915,0.75,8.5927
1.0,32,0.05,10000.0,0.0,0.638,0.702,0.333,0.9528
1.0,32,0.05,10000.0,0.5,0.835,0.776,0.5,0.8908
1.0,32,0.05,10000.0,0.9,0.894,0.894,0.75,0.8898
1.0,32,0.05,40000.0,0.0,0.857,0.85,0.875,3.6235
1.0,32,0.05,40000.0,0.5,0.937,0.905,0.875,3.5388
1.0,32,0.05,40000.0,0.9,0.915,0.851,0.958,3.6416
1.0,32,0.05,100000.0,0.0,0.942,0.862,0.875,8.838
1.0,32,0.05,100000.0,0.5,0.974,0.926,0.917,8.8614
1.0,32,0.05,100000.0,0.9,1.0,0.915,0.875,8.8939
1.0,32,0.1,10000.0,0.0,0.724,0.745,0.542,0.8791
1.0,32,0.1,10000.0,0.5,0.767,0.765,0.5,0.9121
1.0,32,0.1,10000.0,0.9,0.799,0.743,0.833,0.921
1.0,32,0.1,40000.0,0.0,0.878,0.851,0.917,3.6044
1.0,32,0.1,40000.0,0.5,0.852,0.722,0.958,3.5183
1.0,32,0.1,40000.0,0.9,0.968,0.915,0.917,3.5079
1.0,32,0.1,100000.0,0.0,0.963,0.905,0.917,8.7708
1.0,32,0.1,100000.0,0.5,0.984,0.915,0.917,8.9723
1.0,32,0.1,100000.0,0.9,1.0,0.915,0.833,10.006
1.0,32,0.5,10000.0,0.0,0.586,0.53,0.417,0.8763
1.0,32,0.5,10000.0,0.5,0.675,0.766,0.833,0.873
1.0,32,0.5,10000.0,0.9,0.867,0.862,0.667,0.9541
1.0,32,0.5,40000.0,0.0,0.915,0.862,1.0,3.5475
1.0,32,0.5,40000.0,0.5,0.857,0.786,0.917,3.494
1.0,32,0.5,40000.0,0.9,0.681,0.734,0.917,3.5214
1.0,32,0.5,100000.0,0.0,0.958,0.905,0.958,8.8254
1.0,32,0.5,100000.0,0.5,0.847,0.776,0.875,8.8161
1.0,32,0.5,100000.0,0.9,1.0,0.905,0.875,8.8305
1.0,32,0.7,10000.0,0.0,0.718,0.734,0.875,0.8732
1.0,32,0.7,10000.0,0.5,0.857,0.84,0.333,0.8851
1.0,32,0.7,10000.0,0.9,0.835,0.788,0.708,0.8816
1.0,32,0.7,40000.0,0.0,0.888,0.851,0.833,4.2934
1.0,32,0.7,40000.0,0.5,0.926,0.894,0.667,3.7616
1.0,32,0.7,40000.0,0.9,0.936,0.894,0.75,3.543
1.0,32,0.7,100000.0,0.0,0.974,0.905,0.958,8.9225
1.0,32,0.7,100000.0,0.5,0.968,0.905,0.958,8.806
1.0,32,0.7,100000.0,0.9,1.0,0.915,0.917,8.9125
1.5,1,0.05,10000.0,0.0,0.652,0.642,0.697,0.8013
1.5,1,0.05,10000.0,0.5,0.637,0.553,0.606,0.8655
1.5,1,0.05,10000.0,0.9,0.621,0.618,0.606,0.7849
1.5,1,0.05,40000.0,0.0,0.691,0.672,0.697,3.1525
1.5,1,0.05,40000.0,0.5,0.644,0.657,0.879,3.1527
1.5,1,0.05,40000.0,0.9,0.696,0.742,0.909,3.1333
1.5,1,0.05,100000.0,0.0,0.692,0.719,0.636,7.8726
1.5,1,0.05,100000.0,0.5,0.653,0.577,0.939,7.8964
1.5,1,0.05,100000.0,0.9,0.664,0.586,0.848,7.9578
1.5,1,0.1,10000.0,0.0,0.633,0.578,0.636,0.7904
1.5,1,0.1,10000.0,0.5,0.562,0.508,0.667,0.8295
1.5,1,0.1,10000.0,0.9,0.633,0.688,0.636,0.7836
1.5,1,0.1,40000.0,0.0,0.531,0.58,0.545,3.1312
1.5,1,0.1,40000.0,0.5,0.668,0.609,0.727,3.138
1.5,1,0.1,40000.0,0.9,0.809,0.782,0.727,3.1699
1.5,1,0.1,100000.0,0.0,0.84,0.86,0.758,7.8925
1.5,1,0.1,100000.0,0.5,0.883,0.782,0.758,8.2907
1.5,1,0.1,100000.0,0.9,0.75,0.702,0.697,8.3507
1.5,1,0.5,10000.0,0.0,0.59,0.602,0.606,0.7834
1.5,1,0.5,10000.0,0.5,0.723,0.719,0.667,0.8362
1.5,1,0.5,10000.0,0.9,0.687,0.689,0.697,0.8492
1.5,1,0.5,40000.0,0.0,0.695,0.712,0.636,3.2388
1.5,1,0.5,40000.0,0.5,0.824,0.75,0.606,3.1485
1.5,1,0.5,40000.0,0.9,0.753,0.735,0.667,3.1399
1.5,1,0.5,100000.0,0.0,0.765,0.689,0.879,7.8649
1.5,1,0.5,100000.0,0.5,0.902,0.829,0.788,7.8792
1.5,1,0.5,100000.0,0.9,0.747,0.624,0.697,7.8829
1.5,1,0.7,10000.0,0.0,0.656,0.546,0.788,0.7857
1.5,1,0.7,10000.0,0.5,0.602,0.657,0.818,0.7809
1.5,1,0.7,10000.0,0.9,0.544,0.506,0.697,0.8317
1.5,1,0.7,40000.0,0.0,0.613,0.711,0.818,3.1257
1.5,1,0.7,40000.0,0.5,0.684,0.696,0.697,3.1218
1.5,1,0.7,40000.0,0.9,0.762,0.726,0.545,3.1245
1.5,1,0.7,100000.0,0.0,0.899,0.859,0.697,7.8295
1.5,1,0.7,100000.0,0.5,0.812,0.844,0.788,8.1036
1.5,1,0.7,100000.0,0.9,0.757,0.767,0.939,7.827
1.5,8,0.05,10000.0,0.0,0.668,0.585,0.727,0.8716
1.5,8,0.05,10000.0,0.5,0.785,0.759,0.697,0.8316
1.5,8,0.05,10000.0,0.9,0.735,0.773,0.909,0.8356
1.5,8,0.05,40000.0,0.0,0.825,0.843,0.909,3.3679
1.5,8,0.05,40000.0,0.5,0.746,0.741,0.636,3.3254
1.5,8,0.05,40000.0,0.9,0.871,0.852,0.939,3.3156
1.5,8,0.05,100000.0,0.0,0.848,0.821,0.939,8.3614
1.5,8,0.05,100000.0,0.5,0.914,0.899,0.909,8.2789
1.5,8,0.05,100000.0,0.9,0.91,0.835,0.97,8.2051
1.5,8,0.1,10000.0,0.0,0.653,0.593,0.697,0.8629
1.5,8,0.1,10000.0,0.5,0.75,0.705,0.697,0.8674
1.5,8,0.1,10000.0,0.9,0.84,0.836,0.788,0.8279
1.5,8,0.1,40000.0,0.0,0.89,0.837,0.879,3.2941
1.5,8,0.1,40000.0,0.5,0.898,0.852,0.879,3.334
1.5,8,0.1,40000.0,0.9,0.906,0.836,0.939,3.2868
1.5,8,0.1,100000.0,0.0,0.879,0.891,1.0,8.8345
1.5,8,0.1,100000.0,0.5,0.84,0.883,0.97,8.2508
1.5,8,0.1,100000.0,0.9,0.812,0.751,0.97,8.2663
1.5,8,0.5,10000.0,0.0,0.66,0.727,0.576,0.8972
1.5,8,0.5,10000.0,0.5,0.762,0.696,0.667,0.8201
1.5,8,0.5,10000.0,0.9,0.711,0.705,0.939,0.8235
1.5,8,0.5,40000.0,0.0,0.922,0.891,0.879,3.3152
1.5,8,0.5,40000.0,0.5,0.871,0.891,0.848,3.3418
1.5,8,0.5,40000.0,0.9,0.863,0.813,0.909,3.4652
1.5,8,0.5,100000.0,0.0,0.945,0.868,0.97,8.4123
1.5,8,0.5,100000.0,0.5,0.918,0.859,0.909,8.2609
1.5,8,0.5,100000.0,0.9,0.945,0.875,0.97,8.2349
1.5,8,0.7,10000.0,0.0,0.614,0.522,0.879,0.8225
1.5,8,0.7,10000.0,0.5,0.664,0.665,0.879,0.8321
1.5,8,0.7,10000.0,0.9,0.707,0.655,0.818,0.8251
1.5,8,0.7,40000.0,0.0,0.805,0.828,0.758,3.5172
1.5,8,0.7,40000.0,0.5,0.879,0.883,0.909,3.6382
1.5,8,0.7,40000.0,0.9,0.855,0.829,0.879,3.7143
1.5,8,0.7,100000.0,0.0,0.89,0.875,1.0,8.2422
1.5,8,0.7,100000.0,0.5,0.914,0.898,0.879,8.5753
1.5,8,0.7,100000.0,0.9,0.864,0.858,0.818,8.4177
1.5,16,0.05,10000.0,0.0,0.68,0.602,0.758,0.8731
1.5,16,0.05,10000.0,0.5,0.778,0.694,0.576,0.8711
1.5,16,0.05,10000.0,0.9,0.832,0.798,0.758,0.8611
1.5,16,0.05,40000.0,0.0,0.863,0.837,0.909,3.8537
1.5,16,0.05,40000.0,0.5,0.859,0.79,0.909,4.0089
1.5,16,0.05,40000.0,0.9,0.89,0.797,0.879,3.5931
1.5,16,0.05,100000.0,0.0,0.817,0.827,0.909,9.4471
1.5,16,0.05,100000.0,0.5,0.949,0.883,0.909,8.8173
1.5,16,0.05,100000.0,0.9,0.949,0.844,0.939,9.0203
1.5,16,0.1,10000.0,0.0,0.637,0.561,0.697,0.9036
1.5,16,0.1,10000.0,0.5,0.636,0.689,0.788,0.8588
1.5,16,0.1,10000.0,0.9,0.871,0.821,0.788,0.8652
1.5,16,0.1,40000.0,0.0,0.91,0.875,0.909,3.4112
1.5,16,0.1,40000.0,0.5,0.898,0.867,0.97,3.4213
1.5,16,0.1,40000.0,0.9,0.875,0.836,0.879,3.4332
1.5,16,0.1,100000.0,0.0,0.926,0.914,0.909,8.5839
1.5,16,0.1,100000.0,0.5,0.961,0.899,0.97,8.5652
1.5,16,0.1,100000.0,0.9,0.941,0.867,0.939,9.2041
1.5,16,0.5,10000.0,0.0,0.699,0.68,0.909,0.8507
1.5,16,0.5,10000.0,0.5,0.681,0.653,0.727,0.9458
1.5,16,0.5,10000.0,0.9,0.797,0.782,0.788,0.857
1.5,16,0.5,40000.0,0.0,0.743,0.797,0.939,3.4369
1.5,16,0.5,40000.0,0.5,0.871,0.782,0.909,3.4271
1.5,16,0.5,40000.0,0.9,0.855,0.844,0.97,3.4415
1.5,16,0.5,100000.0,0.0,0.949,0.898,0.848,8.5732
1.5,16,0.5,100000.0,0.5,0.93,0.922,0.909,8.5429
1.5,16,0.5,100000.0,0.9,0.946,0.899,0.667,8.5559
1.5,16,0.7,10000.0,0.0,0.672,0.657,0.879,0.8528
1.5,16,0.7,10000.0,0.5,0.758,0.836,0.879,0.9868
1.5,16,0.7,10000.0,0.9,0.875,0.852,0.727,0.8609
1.5,16,0.7,40000.0,0.0,0.875,0.797,0.636,3.4124
1.5,16,0.7,40000.0,0.5,0.84,0.852,0.909,3.4203
1.5,16,0.7,40000.0,0.9,0.895,0.875,0.939,3.4258
1.5,16,0.7,100000.0,0.0,0.949,0.914,0.848,8.7669
1.5,16,0.7,100000.0,0.5,0.957,0.898,0.909,8.553
1.5,16,0.7,100000.0,0.9,0.903,0.883,0.818,9.1001
1.5,32,0.05,10000.0,0.0,0.559,0.553,0.879,1.0464
1.5,32,0.05,10000.0,0.5,0.735,0.671,0.909,0.8939
1.5,32,0.05,10000.0,0.9,0.824,0.86,0.939,1.0524
1.5,32,0.05,40000.0,0.0,0.754,0.748,0.939,4.7629
1.5,32,0.05,40000.0,0.5,0.918,0.844,0.97,3.9311
1.5,32,0.05,40000.0,0.9,0.817,0.773,0.909,3.6414
1.5,32,0.05,100000.0,0.0,0.887,0.867,0.97,8.984
1.5,32,0.05,100000.0,0.5,0.976,0.891,0.939,8.9554
1.5,32,0.05,100000.0,0.9,0.961,0.914,0.879,8.9971
1.5,32,0.1,10000.0,0.0,0.757,0.759,0.758,0.8999
1.5,32,0.1,10000.0,0.5,0.742,0.711,0.576,0.8963
1.5,32,0.1,10000.0,0.9,0.817,0.86,0.818,0.9839
1.5,32,0.1,40000.0,0.0,0.809,0.811,0.848,3.5532
1.5,32,0.1,40000.0,0.5,0.961,0.922,0.939,3.5627
1.5,32,0.1,40000.0,0.9,0.906,0.891,0.909,3.6061
1.5,32,0.1,100000.0,0.0,0.91,0.875,0.818,8.914
1.5,32,0.1,100000.0,0.5,0.949,0.906,0.97,9.0315
1.5,32,0.1,100000.0,0.9,0.973,0.922,1.0,8.9721
1.5,32,0.5,10000.0,0.0,0.625,0.547,0.606,0.8892
1.5,32,0.5,10000.0,0.5,0.843,0.821,0.879,0.9064
1.5,32,0.5,10000.0,0.9,0.785,0.775,0.667,0.8895
1.5,32,0.5,40000.0,0.0,0.872,0.796,0.879,3.5621
1.5,32,0.5,40000.0,0.5,0.933,0.875,0.879,3.5613
1.5,32,0.5,40000.0,0.9,0.898,0.883,0.97,3.5796
1.5,32,0.5,100000.0,0.0,0.914,0.883,0.97,8.9755
1.5,32,0.5,100000.0,0.5,0.969,0.929,0.879,8.9743
1.5,32,0.5,100000.0,0.9,0.98,0.929,0.97,8.9499
1.5,32,0.7,10000.0,0.0,0.688,0.665,0.788,0.8905
1.5,32,0.7,10000.0,0.5,0.754,0.774,0.697,0.892
1.5,32,0.7,10000.0,0.9,0.801,0.772,0.879,0.8939
1.5,32,0.7,40000.0,0.0,0.91,0.875,0.909,3.5873
1.5,32,0.7,40000.0,0.5,0.937,0.93,0.909,3.5598
1.5,32,0.7,40000.0,0.9,0.945,0.914,0.939,3.5552
1.5,32,0.7,100000.0,0.0,0.914,0.86,0.939,9.0284
1.5,32,0.7,100000.0,0.5,0.953,0.914,0.879,8.9181
1.5,32,0.7,100000.0,0.9,0.941,0.875,0.97,8.8912
2.0,1,0.05,10000.0,0.0,0.46,0.42,0.657,0.7956
2.0,1,0.05,10000.0,0.5,0.514,0.486,0.6,0.7933
2.0,1,0.05,10000.0,0.9,0.645,0.652,0.771,0.8289
2.0,1,0.05,40000.0,0.0,0.63,0.667,0.714,3.1393
2.0,1,0.05,40000.0,0.5,0.783,0.746,0.486,3.1242
2.0,1,0.05,40000.0,0.9,0.569,0.558,0.571,3.1481
