IQR Factor,Batch Size,Learning Rate,Max Iters,Momentum,Mean Train Accuracy,Mean Validation Accuracy,Test Accuracy,Convergence Speed
2.0,16,0.1,40000.0,0.9,0.924,0.935,0.771,3.4591
2.0,16,0.1,100000.0,0.0,0.873,0.913,0.886,8.6384
2.0,16,0.1,100000.0,0.5,0.946,0.928,0.857,8.5959
2.0,16,0.1,100000.0,0.9,0.913,0.884,0.829,8.6187
2.0,16,0.5,10000.0,0.0,0.576,0.594,0.6,0.8552
2.0,16,0.5,10000.0,0.5,0.714,0.688,0.714,0.9093
2.0,16,0.5,10000.0,0.9,0.681,0.681,0.714,0.8626
2.0,16,0.5,40000.0,0.0,0.844,0.884,0.686,3.418
2.0,16,0.5,40000.0,0.5,0.87,0.877,0.914,3.416
2.0,16,0.5,40000.0,0.9,0.909,0.877,0.914,3.4216
2.0,16,0.5,100000.0,0.0,0.851,0.812,0.886,8.876
2.0,16,0.5,100000.0,0.5,0.909,0.913,0.857,8.5775
2.0,16,0.5,100000.0,0.9,0.909,0.877,0.857,8.618
2.0,16,0.7,10000.0,0.0,0.623,0.652,0.886,0.8588
2.0,16,0.7,10000.0,0.5,0.678,0.681,0.829,0.8887
2.0,16,0.7,10000.0,0.9,0.707,0.681,0.8,0.8573
2.0,16,0.7,40000.0,0.0,0.87,0.884,0.514,3.4685
2.0,16,0.7,40000.0,0.5,0.917,0.928,0.886,3.4392
2.0,16,0.7,40000.0,0.9,0.83,0.833,0.857,3.4704
2.0,16,0.7,100000.0,0.0,0.899,0.877,0.857,8.5826
2.0,16,0.7,100000.0,0.5,0.931,0.899,0.8,8.6057
2.0,16,0.7,100000.0,0.9,0.953,0.935,0.914,8.58
2.0,32,0.05,10000.0,0.0,0.652,0.616,0.371,0.8991
2.0,32,0.05,10000.0,0.5,0.826,0.775,0.743,0.9035
2.0,32,0.05,10000.0,0.9,0.862,0.833,0.857,0.9513
2.0,32,0.05,40000.0,0.0,0.866,0.862,0.8,3.5756
2.0,32,0.05,40000.0,0.5,0.938,0.928,0.857,3.6091
2.0,32,0.05,40000.0,0.9,0.931,0.899,0.771,3.6155
2.0,32,0.05,100000.0,0.0,0.841,0.841,0.914,8.9466
2.0,32,0.05,100000.0,0.5,0.928,0.899,0.914,8.9816
2.0,32,0.05,100000.0,0.9,0.931,0.906,0.886,9.6718
2.0,32,0.1,10000.0,0.0,0.707,0.696,0.657,0.906
2.0,32,0.1,10000.0,0.5,0.841,0.812,0.743,0.9002
2.0,32,0.1,10000.0,0.9,0.822,0.819,0.743,0.9114
2.0,32,0.1,40000.0,0.0,0.848,0.812,0.943,3.5805
2.0,32,0.1,40000.0,0.5,0.88,0.826,0.8,3.5803
2.0,32,0.1,40000.0,0.9,0.957,0.928,0.857,3.673
2.0,32,0.1,100000.0,0.0,0.909,0.913,0.914,9.5259
2.0,32,0.1,100000.0,0.5,0.902,0.891,0.914,9.0216
2.0,32,0.1,100000.0,0.9,0.931,0.942,0.857,8.9598
2.0,32,0.5,10000.0,0.0,0.71,0.739,0.714,0.8917
2.0,32,0.5,10000.0,0.5,0.761,0.783,0.714,0.9127
2.0,32,0.5,10000.0,0.9,0.815,0.775,0.314,0.9299
2.0,32,0.5,40000.0,0.0,0.928,0.906,0.857,3.6601
2.0,32,0.5,40000.0,0.5,0.931,0.899,0.714,3.5723
2.0,32,0.5,40000.0,0.9,0.873,0.833,0.857,3.5642
2.0,32,0.5,100000.0,0.0,0.957,0.935,0.914,8.9264
2.0,32,0.5,100000.0,0.5,0.938,0.935,0.857,8.8945
2.0,32,0.5,100000.0,0.9,0.96,0.942,0.914,8.9337
2.0,32,0.7,10000.0,0.0,0.609,0.652,0.857,0.889
2.0,32,0.7,10000.0,0.5,0.822,0.761,0.857,0.8963
2.0,32,0.7,10000.0,0.9,0.87,0.826,0.657,0.9691
2.0,32,0.7,40000.0,0.0,0.935,0.913,0.829,3.5806
2.0,32,0.7,40000.0,0.5,0.873,0.841,0.914,3.7204
2.0,32,0.7,40000.0,0.9,0.924,0.92,0.914,3.5651
2.0,32,0.7,100000.0,0.0,0.888,0.855,0.914,9.0531
2.0,32,0.7,100000.0,0.5,0.931,0.913,0.857,8.8787
2.0,32,0.7,100000.0,0.9,0.946,0.935,0.886,8.9805
