IQR Factor,Batch Size,Learning Rate,Max Iters,Momentum,Mean Train MSE,Mean Validation MSE,Test MSE,Convergence Speed
1.0,16,0.05,40000.0,0.5,12.297,12.495,10.492,2.2807
1.0,16,0.05,40000.0,0.9,12.262,12.404,10.496,2.2847
1.0,16,0.05,100000.0,0.0,11.504,11.595,9.721,5.6805
1.0,16,0.05,100000.0,0.5,11.629,11.466,9.72,5.8714
1.0,16,0.05,100000.0,0.9,11.505,11.545,9.825,5.7899
1.0,16,0.1,10000.0,0.0,12.609,12.614,11.174,0.5801
1.0,16,0.1,10000.0,0.5,12.644,12.874,11.471,0.5697
1.0,16,0.1,10000.0,0.9,12.62,12.781,11.162,0.5733
1.0,16,0.1,40000.0,0.0,11.727,11.737,10.044,2.2469
1.0,16,0.1,40000.0,0.5,11.851,12.091,10.116,2.2913
1.0,16,0.1,40000.0,0.9,11.733,11.75,9.921,2.2781
1.0,16,0.1,100000.0,0.0,10.571,10.672,8.923,6.1087
1.0,16,0.1,100000.0,0.5,10.833,11.425,8.804,5.6628
1.0,16,0.1,100000.0,0.9,10.548,10.739,8.79,5.7918
1.0,16,0.5,10000.0,0.0,11.584,11.821,9.905,0.6972
1.0,16,0.5,10000.0,0.5,11.95,12.515,9.86,0.5702
1.0,16,0.5,10000.0,0.9,11.768,12.197,9.995,0.5704
1.0,16,0.5,40000.0,0.0,9.564,9.67,7.546,2.2473
1.0,16,0.5,40000.0,0.5,9.254,9.854,7.476,2.4025
1.0,16,0.5,40000.0,0.9,9.687,10.683,7.656,2.6278
1.0,16,0.5,100000.0,0.0,7.875,9.496,6.348,5.421
1.0,16,0.5,100000.0,0.5,7.613,8.822,5.823,5.5624
1.0,16,0.5,100000.0,0.9,7.698,9.143,5.926,5.2691
1.0,16,0.7,10000.0,0.0,11.101,11.098,10.936,0.5233
1.0,16,0.7,10000.0,0.5,11.394,11.185,9.374,0.5719
1.0,16,0.7,10000.0,0.9,11.082,11.197,9.272,0.527
1.0,16,0.7,40000.0,0.0,8.884,9.171,7.509,2.1648
1.0,16,0.7,40000.0,0.5,8.864,10.015,7.005,2.1441
1.0,16,0.7,40000.0,0.9,8.762,9.839,6.989,2.2115
1.0,16,0.7,100000.0,0.0,7.947,10.141,5.934,5.3605
1.0,16,0.7,100000.0,0.5,7.282,8.816,5.474,5.2538
1.0,16,0.7,100000.0,0.9,8.491,10.919,5.483,5.2765
1.0,32,0.05,10000.0,0.0,13.084,13.278,12.089,0.6829
1.0,32,0.05,10000.0,0.5,13.082,13.212,12.005,0.5305
1.0,32,0.05,10000.0,0.9,13.095,13.143,12.035,0.5278
1.0,32,0.05,40000.0,0.0,12.245,12.338,10.504,2.123
1.0,32,0.05,40000.0,0.5,12.253,12.351,10.515,2.1554
1.0,32,0.05,40000.0,0.9,12.234,12.182,10.515,2.1155
1.0,32,0.05,100000.0,0.0,11.525,11.499,9.709,5.435
1.0,32,0.05,100000.0,0.5,11.51,11.526,9.723,5.3022
1.0,32,0.05,100000.0,0.9,11.52,11.665,9.755,5.4297
1.0,32,0.1,10000.0,0.0,12.661,12.86,11.185,0.5983
1.0,32,0.1,10000.0,0.5,12.645,12.553,11.417,0.5382
1.0,32,0.1,10000.0,0.9,12.608,12.654,11.115,0.5371
1.0,32,0.1,40000.0,0.0,11.728,11.74,9.933,2.1476
1.0,32,0.1,40000.0,0.5,11.739,11.862,9.951,2.1994
1.0,32,0.1,40000.0,0.9,11.729,11.763,9.942,2.2081
1.0,32,0.1,100000.0,0.0,10.593,10.655,8.815,5.6365
1.0,32,0.1,100000.0,0.5,10.574,10.911,8.871,5.3846
1.0,32,0.1,100000.0,0.9,10.551,10.794,8.853,5.3671
1.0,32,0.5,10000.0,0.0,11.729,11.479,9.74,0.5902
1.0,32,0.5,10000.0,0.5,11.787,12.186,9.893,0.5306
1.0,32,0.5,10000.0,0.9,11.524,11.489,9.748,0.5303
1.0,32,0.5,40000.0,0.0,9.343,9.662,7.588,2.4021
1.0,32,0.5,40000.0,0.5,9.266,9.852,7.537,2.1382
1.0,32,0.5,40000.0,0.9,9.263,9.667,7.579,2.1316
1.0,32,0.5,100000.0,0.0,7.617,8.822,5.849,5.3307
1.0,32,0.5,100000.0,0.5,7.623,8.889,6.067,5.2922
1.0,32,0.5,100000.0,0.9,8.136,9.936,5.918,5.3061
1.0,32,0.7,10000.0,0.0,11.091,11.19,9.374,0.5312
1.0,32,0.7,10000.0,0.5,11.113,11.359,9.343,0.5756
1.0,32,0.7,10000.0,0.9,11.291,11.748,9.417,0.5284
1.0,32,0.7,40000.0,0.0,9.738,11.342,7.23,2.1448
1.0,32,0.7,40000.0,0.5,8.593,9.264,7.049,2.1642
1.0,32,0.7,40000.0,0.9,8.61,9.239,7.016,2.1622
1.0,32,0.7,100000.0,0.0,7.23,8.62,5.372,5.5356
1.0,32,0.7,100000.0,0.5,7.323,8.532,5.375,5.3059
1.0,32,0.7,100000.0,0.9,7.394,8.515,5.396,5.4292
1.0,64,0.05,10000.0,0.0,13.091,13.132,12.007,0.5622
1.0,64,0.05,10000.0,0.5,13.079,13.213,11.984,0.55
1.0,64,0.05,10000.0,0.9,13.081,13.256,11.986,0.5469
1.0,64,0.05,40000.0,0.0,12.225,12.248,10.535,2.178
1.0,64,0.05,40000.0,0.5,12.226,12.21,10.56,2.2017
1.0,64,0.05,40000.0,0.9,12.234,12.305,10.556,2.1777
1.0,64,0.05,100000.0,0.0,11.505,11.542,9.717,5.4696
1.0,64,0.05,100000.0,0.5,11.511,11.637,9.724,5.5677
1.0,64,0.05,100000.0,0.9,11.501,11.569,9.715,5.4706
1.0,64,0.1,10000.0,0.0,12.633,12.807,11.171,0.5526
1.0,64,0.1,10000.0,0.5,12.608,12.63,11.221,0.5485
1.0,64,0.1,10000.0,0.9,12.605,12.66,11.202,0.5458
1.0,64,0.1,40000.0,0.0,11.776,11.976,9.937,2.1846
1.0,64,0.1,40000.0,0.5,11.728,11.733,9.992,2.1933
1.0,64,0.1,40000.0,0.9,11.74,11.7,9.927,2.1983
1.0,64,0.1,100000.0,0.0,10.544,10.759,8.819,5.4567
1.0,64,0.1,100000.0,0.5,10.575,10.908,8.823,5.5293
1.0,64,0.1,100000.0,0.9,10.557,10.837,8.843,5.4874
1.0,64,0.5,10000.0,0.0,11.522,11.469,9.855,0.5639
1.0,64,0.5,10000.0,0.5,11.542,11.676,9.997,0.551
1.0,64,0.5,10000.0,0.9,11.519,11.507,9.755,0.5461
1.0,64,0.5,40000.0,0.0,9.295,9.992,7.62,2.1859
1.0,64,0.5,40000.0,0.5,9.242,9.732,7.519,2.1764
1.0,64,0.5,40000.0,0.9,9.32,9.661,7.617,2.2162
1.0,64,0.5,100000.0,0.0,7.62,8.752,5.887,5.4771
